refmet_name,refmet_id,super_class,main_class,sub_class,diet_source_reported_names,diet_analysis_ids,diet_analysis_feature_ids,exercise_source_reported_names,exercise_analysis_ids,exercise_analysis_feature_ids,mapping_status,mapping_confidence,mapping_evidence,exercise_standard_collision,include_in_conservative_biological_overlap,decision_reason
Taurochenodeoxycholic acid,RM0128369,Sterol Lipids,Bile acids,C24 bile acids,Taurochenodeoxycholic acid,AN002536,ST001521|AN002536|ME367976,Taurochenodesoxycholic acid,AN005484,ST003348|AN005484|ME875814,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Taurocholic acid,RM0033602,Sterol Lipids,Bile acids,C24 bile acids,Taurocholic acid,AN002536,ST001521|AN002536|ME367980,Taurocholic acid,AN005484,ST003348|AN005484|ME875818,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Taurodeoxycholic acid,RM0135855,Sterol Lipids,Bile acids,C24 bile acids,Taurodeoxycholic acid,AN002536,ST001521|AN002536|ME367977,Taurodeoxycholic acid,AN005484,ST003348|AN005484|ME875815,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Tetradecanedioic acid,RM0153229,Fatty Acyls,Fatty acids,Dicarboxylic acids,Tetradecanedioic acid,AN002536,ST001521|AN002536|ME367938,Tetradecanedioic acid(FFA(14:2-DC); Tetradecanedioic acid(FFA(14:2-DC) isomer1; Tetradecanedioic acid(FFA(14:2-DC) isomer2; Tetradecanedioic acid(FFA(14:2-DC) isomer3,AN005484,ST003348|AN005484|ME875679; ST003348|AN005484|ME875719; ST003348|AN005484|ME875722; ST003348|AN005484|ME875726,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Theophylline,RM0136130,Nucleic acids,Purines,Xanthines,Theophylline,AN002536,ST001521|AN002536|ME367982,Theophylline,AN005483,ST003348|AN005483|ME875319,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Threonine,RM0135900,Organic acids,Amino acids and peptides,Amino acids,Threonine,AN002533,ST001521|AN002533|ME367441,L-Threonine,AN005483,ST003348|AN005483|ME875550,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Thyroxine,RM0135922,Organic acids,Amino acids and peptides,Amino acids,Thyroxine,AN002533,ST001521|AN002533|ME367481,Thyroxine,AN005483,ST003348|AN005483|ME875535,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
trans-3-Hydroxycotinine,RM0159961,Alkaloids,Alkaloids,Other alkaloids,trans-3-Hydroxycotinine,AN002533,ST001521|AN002533|ME367610,Hydroxycotinine,AN005483,ST003348|AN005483|ME875335,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Trigonelline,RM0136017,Alkaloids,Pyridine alkaloids,Nicotinic acid alkaloids,Trigonelline,AN002533,ST001521|AN002533|ME367618,Trigonelline,AN005483,ST003348|AN005483|ME875276,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Trimethylamine N-oxide,RM0156066,Organic nitrogen compounds,Amine oxides,Trisubstituted amine oxides,Trimethylamine N-oxide,AN002533,ST001521|AN002533|ME367482,Trimethylamine N-oxide,AN005483,ST003348|AN005483|ME875538,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Tryptophan,RM0136024,Organic acids,Amino acids and peptides,Amino acids,Tryptophan,AN002533,ST001521|AN002533|ME367454,L-Tryptophan,AN005483,ST003348|AN005483|ME875325,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Tyrosine,RM0135896,Organic acids,Amino acids and peptides,Amino acids,Tyrosine,AN002533,ST001521|AN002533|ME367453,L-Tyrosine,AN005483,ST003348|AN005483|ME875554,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Uracil,RM0135934,Nucleic acids,Pyrimidines,Other pyrimidines,Uracil,AN002535,ST001521|AN002535|ME367847,Uracil,AN005483,ST003348|AN005483|ME875437,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Uric acid,RM0160856,Nucleic acids,Purines,Xanthines,Uric acid,AN002533; AN002535,ST001521|AN002533|ME367604; ST001521|AN002535|ME367890,Uric acid,AN005483,ST003348|AN005483|ME875456,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Uridine,RM0135933,Nucleic acids,Pyrimidines,Pyrimidine ribonucleosides,Uridine,AN002535,ST001521|AN002535|ME367849,Uridine; Uridine+Pseudouridine,AN005483; AN005484,ST003348|AN005483|ME875374; ST003348|AN005484|ME875660,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Urocanic acid,RM0135935,Alkaloids,Histidine alkaloids,Imidazole alkaloids,Urocanic acid,AN002533,ST001521|AN002533|ME367605,Urocanic acid,AN005483,ST003348|AN005483|ME875277,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Valine,RM0136018,Organic acids,Amino acids and peptides,Amino acids,Valine,AN002533,ST001521|AN002533|ME367449,L-Valine,AN005484,ST003348|AN005484|ME875576,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Vitamin C,RM0118068,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,Vitamin C,AN002535,ST001521|AN002535|ME367909,Ascorbic acid,AN005484,ST003348|AN005484|ME875614,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
Xanthine,RM0135930,Nucleic acids,Purines,Xanthines,Xanthine,AN002533; AN002535,ST001521|AN002533|ME367606; ST001521|AN002535|ME367884,Xanthine,AN005483,ST003348|AN005483|ME875440,exact_case_sensitive_refmet_name_intersection,repository-provided RefMet mapping; nomenclature bridge only,Exact case-sensitive equality of nonblank MW refmet_name fields; RefMet class from cached exact-name lookup,False,True,Retain; no ST003348 isotope/internal-standard collision
